generation,best_length
1,12601.310865
2,11897.391910
3,10982.466956
4,10982.466956
5,10982.466956
6,10982.466956
7,10632.890300
8,10029.872702
9,9830.792563
10,9830.792563
11,9474.585269
12,9336.137538
13,9309.598717
14,8102.377612
15,8102.377612
16,8017.636639
17,7762.252384
18,7361.228761
19,7361.228761
20,7361.228761
21,7361.228761
22,6931.827778
23,6931.827778
24,6931.827778
25,6931.827778
26,6713.769055
27,6578.496147
28,6341.642169
29,6341.642169
30,6341.642169
31,5931.455965
32,5931.455965
33,5931.455965
34,5931.455965
35,5931.455965
36,5931.455965
37,5931.455965
38,5931.455965
39,5899.322764
40,5866.632000
41,5866.632000
42,5803.954697
43,5581.581967
44,5581.581967
45,5581.581967
46,5581.581967
47,5581.581967
48,5473.971833
49,5473.971833
50,5473.971833
51,5473.971833
52,5473.971833
53,5473.971833
54,5473.971833
55,5473.971833
56,5446.662955
57,5446.662955
58,5446.662955
59,5419.584516
60,5397.527095
61,5369.836943
62,5369.836943
63,5356.444840
64,5356.444840
65,5328.219762
66,5328.219762
67,5328.219762
68,5328.219762
69,5294.592984
70,5274.532426
71,5274.532426
72,5274.532426
73,5274.532426
74,5234.087502
75,5234.087502
76,5234.087502
77,5234.087502
78,5234.087502
79,5234.087502
80,5223.368779
81,5223.368779
82,5223.368779
83,5201.440055
84,5024.855456
85,5024.855456
86,5014.136733
87,5014.136733
88,5014.136733
89,5006.810147
90,5006.810147
91,5006.810147
92,5006.810147
93,5006.810147
94,4996.091424
95,4996.091424
96,4996.091424
97,4996.091424
98,4996.091424
99,4996.091424
100,4996.091424
101,4996.091424
102,4988.881291
103,4988.881291
104,4988.881291
105,4988.881291
106,4988.881291
107,4988.881291
108,4988.881291
109,4988.881291
110,4988.881291
111,4988.881291
112,4988.881291
113,4988.881291
114,4988.881291
115,4988.881291
116,4988.881291
117,4988.881291
118,4988.881291
119,4988.881291
120,4988.881291
121,4988.881291
122,4988.881291
123,4988.881291
124,4988.881291
125,4988.881291
126,4988.881291
127,4988.881291
128,4988.881291
129,4988.881291
130,4988.881291
131,4988.881291
132,4988.881291
133,4988.881291
134,4988.881291
135,4988.881291
136,4988.881291
137,4988.881291
138,4988.881291
139,4988.881291
140,4988.881291
141,4988.881291
142,4988.881291
143,4988.881291
144,4988.881291
145,4988.881291
146,4988.881291
147,4988.881291
148,4988.881291
149,4988.881291
150,4988.881291
151,4988.881291
152,4988.881291
153,4988.881291
154,4988.881291
155,4988.881291
156,4988.881291
157,4988.881291
158,4988.881291
159,4988.881291
160,4988.881291
161,4988.881291
162,4988.881291
163,4988.881291
164,4988.881291
165,4988.881291
166,4988.881291
167,4988.881291
168,4988.881291
169,4988.881291
170,4988.881291
171,4988.881291
172,4988.881291
173,4988.881291
174,4988.881291
175,4988.881291
176,4988.881291
177,4988.881291
178,4988.881291
179,4988.881291
180,4988.881291
181,4988.881291
182,4988.881291
183,4988.881291
184,4988.881291
185,4988.881291
186,4988.881291
187,4988.881291
188,4988.881291
189,4988.881291
190,4988.881291
191,4988.881291
192,4988.881291
193,4988.881291
194,4988.881291
195,4988.881291
196,4988.881291
197,4988.881291
198,4988.881291
199,4988.881291
200,4988.881291
201,4988.881291
202,4988.881291
203,4988.881291
204,4988.881291
205,4988.881291
206,4988.881291
207,4988.881291
208,4988.881291
209,4988.881291
210,4988.881291
211,4988.881291
212,4988.881291
213,4988.881291
214,4988.881291
215,4988.881291
216,4988.881291
217,4988.881291
218,4988.881291
219,4988.881291
220,4988.881291
221,4988.881291
222,4988.881291
223,4988.881291
224,4988.881291
225,4988.881291
226,4988.881291
227,4988.881291
228,4988.881291
229,4988.881291
230,4988.881291
231,4988.881291
232,4988.881291
233,4988.881291
234,4988.881291
235,4988.881291
236,4988.881291
237,4988.881291
238,4988.881291
239,4988.881291
240,4988.881291
241,4988.881291
242,4988.881291
243,4988.881291
244,4988.881291
245,4988.881291
246,4988.881291
